thumbnail,title,subtitles,rating,link,price_period,price_currency,price_value,marketplace
https://a0.muscache.com/im/pictures/78b82aba-25b1-43bf-9141-354e69676435.jpg?im_w=720,Apartment in Berlin,Modernized 2 room apartment in the heart of Berlin,4.75,https://www.airbnb.com/rooms/26248619,night,$,76,airbnb
https://a0.muscache.com/im/pictures/b6196826-3720-4a0a-b11c-d6b934e692ff.jpg?im_w=720,Apartment in Berlin,"1  room boutique apartment, bunk bed and balcony",4.94,https://www.airbnb.com/rooms/40716983,night,$,85,airbnb
https://a0.muscache.com/im/pictures/95c58240-2a77-4b13-bfdc-c02dc8104b5b.jpg?im_w=720,Apartment in Berlin,Central & bright apartment in hip disctrict,5.0,https://www.airbnb.com/rooms/44326622,night,$,81,airbnb
https://a0.muscache.com/im/pictures/7b885766-382b-428d-8a37-098c65bd731e.jpg?im_w=720,Private room in Berlin,.Comfortable Private Room Nr. 3,4.64,https://www.airbnb.com/rooms/7838790,night,$,71,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-51759565/original/28bec2e7-99a8-4113-82cf-fe2f33322f61.jpeg?im_w=720,Private room in Berlin,Homely BR w/free WIFI & parking/bus to BER+U Rudow,4.84,https://www.airbnb.com/rooms/51759565,night,$,57,airbnb
https://a0.muscache.com/im/pictures/305f4522-d511-4a2e-adf6-7f9720fe782f.jpg?im_w=720,Condo in Berlin,"Whole flat,beautiful,central, quiet.",4.54,https://www.airbnb.com/rooms/16145208,night,$,89,airbnb
https://a0.muscache.com/im/pictures/c8e340a8-2494-4978-935b-978822111ce7.jpg?im_w=720,Private room in Berlin,"Sunny, quiet, spacious room with loft-bed",4.69,https://www.airbnb.com/rooms/34351958,night,$,50,airbnb
https://a0.muscache.com/im/pictures/d7bbff21-5c58-4c43-90d4-269e03cf6dbf.jpg?im_w=720,Private room in Berlin,Shared flat  ++ read description before booking ++,4.19,https://www.airbnb.com/rooms/43550976,night,$,33,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-2793794/original/77edb542-8fe1-4fbe-a08a-2a3181334391.jpeg?im_w=720,Private room in Berlin,Attic with terrace in the Bergmannkiez + quiet,5.0,https://www.airbnb.com/rooms/2793794,night,$,76,airbnb
https://a0.muscache.com/im/pictures/d7b505cd-84be-494d-874e-c67e1bc409de.jpg?im_w=720,Private room in Berlin,Nice & cosy studio in Berlin-Wilmersdorf,4.8,https://www.airbnb.com/rooms/18070061,night,$,76,airbnb
https://a0.muscache.com/im/pictures/6f2e982e-7855-445d-ae64-bd556f9d74b1.jpg?im_w=720,Private room in Neukölln,Bright room in beautiful family flat in Neukölln,4.57,https://www.airbnb.com/rooms/35987131,night,$,45,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-787044645286919162/original/edd04368-79d6-42c4-8f99-ac4fafc919eb.jpeg?im_w=720,Private room in Mitte,Private room in a shared apartment(Wg),,https://www.airbnb.com/rooms/787044645286919162,night,$,63,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-870087361058955158/original/4b034cad-b166-4b2d-89d5-db43b3e71db0.jpeg?im_w=720,Apartment in Prenzlauer Berg,1-Zimmer Wohnung Prenzlauer Berg,,https://www.airbnb.com/rooms/870087361058955158,night,$,102,airbnb
