title,isAd,location,paymentOptions,highlightedAmenities,link,snippet_text,snippet_title,price_withTaxesAndCharges,price_currency,price_value,rating_score,rating_reviews,marketplace
Art Hotel Charlottenburger Hof,False,Berlin,,,https://www.hotels.com/ho284866/art-hotel-charlottenburger-hof-berlin-germany/,,,121,$,108,7.6,247.0,hotelscom
B&B Hotel Berlin-Potsdamer Platz,False,Tiergarten,Fully refundable,,https://www.hotels.com/ho1900416896/b-b-hotel-berlin-potsdamer-platz-berlin-germany/,,,91,$,81,8.4,51.0,hotelscom
Hotel Delta am Potsdamer Platz,False,Tiergarten,,,https://www.hotels.com/ho116255/hotel-delta-am-potsdamer-platz-berlin-germany/,,,101,$,90,7.2,418.0,hotelscom
CALMA Berlin Mitte,False,Mitte,Fully refundable,,https://www.hotels.com/ho425098/calma-berlin-mitte-berlin-germany/,,,105,$,94,8.4,677.0,hotelscom
Hotel Johann,False,Kreuzberg,Fully refundable,,https://www.hotels.com/ho492591/hotel-johann-berlin-germany/,,,121,$,108,9.0,64.0,hotelscom
"Hotel Indigo Berlin – Ku’damm, an IHG Hotel",False,Berlin,"Reserve now, pay later",,https://www.hotels.com/ho395266/hotel-indigo-berlin-ku-damm-berlin-germany/,,,152,$,126,8.8,635.0,hotelscom
Hampton by Hilton Berlin City East Side Gallery,False,Friedrichshain,Fully refundable,Breakfast included,https://www.hotels.com/ho951170304/hampton-by-hilton-berlin-city-east-side-gallery-berlin-germany/,,,252,$,225,9.0,570.0,hotelscom
AMBER ECONTEL Berlin Charlottenburg,False,Berlin,,,https://www.hotels.com/ho125788/amber-econtel-berlin-charlottenburg-berlin-germany/,,,121,$,108,7.8,995.0,hotelscom
Hotel Castell,False,Berlin,,,https://www.hotels.com/ho266593/hotel-castell-berlin-germany/,,,103,$,92,7.4,236.0,hotelscom
Newberlin,False,Friedrichshain,,,https://www.hotels.com/ho196586/newberlin-berlin-germany/,,,196,$,175,8.6,695.0,hotelscom
Ringhotel Seehof Berlin,False,Berlin,,Pool,https://www.hotels.com/ho123915/ringhotel-seehof-berlin-berlin-germany/,,,135,$,121,8.4,222.0,hotelscom
Precise Tale Berlin,False,Kreuzberg,Fully refundable,,https://www.hotels.com/ho2259940512/precise-tale-berlin-berlin-germany/,,,161,$,144,8.6,22.0,hotelscom
Apple City Hotel,False,Berlin,Fully refundable,,https://www.hotels.com/ho453952/apple-city-hotel-berlin-germany/,,,109,$,97,7.2,509.0,hotelscom
Hotel Alex Berlin,False,Prenzlauer Berg,,,https://www.hotels.com/ho2705431488/hotel-alex-berlin-berlin-germany/,,,141,$,126,8.0,1.0,hotelscom
B&B Hotel Berlin-Charlottenburg,False,Berlin,Fully refundable,,https://www.hotels.com/ho1833110112/b-b-hotel-berlin-charlottenburg-berlin-germany/,,,121,$,108,8.4,64.0,hotelscom
June Six Berlin City West,False,Berlin,Fully refundable,Breakfast included,https://www.hotels.com/ho2502826656/june-six-berlin-city-west-berlin-germany/,,,160,$,127,7.6,18.0,hotelscom
Good Morning Berlin City West,False,Berlin,,,https://www.hotels.com/ho266253/good-morning-berlin-city-west-berlin-germany/,,,86,$,77,7.0,840.0,hotelscom
Telegraphenamt,False,Mitte,Fully refundable,,https://www.hotels.com/ho2922427840/telegraphenamt-berlin-germany/,,,319,$,285,10.0,1.0,hotelscom
Digital check-in - THE DUDE by charly,False,Mitte,Fully refundable,,https://www.hotels.com/ho2384822848/the-dude-by-charly-berlin-germany/,,,166,$,138,8.0,7.0,hotelscom
Sorat Hotel Berlin,False,Schöneberg,,,https://www.hotels.com/ho199660/sorat-hotel-ambassador-berlin-berlin-germany/,,,108,$,97,7.8,983.0,hotelscom
AC Hotel by Marriott Berlin Humboldthain Park,False,Berlin,,,https://www.hotels.com/ho979235648/ac-hotel-by-marriott-berlin-humboldthain-park-berlin-germany/,,,116,$,104,8.6,178.0,hotelscom
Mk Hotel Berlin,False,Berlin,,,https://www.hotels.com/ho417959/mk-hotel-berlin-berlin-germany/,,,99,$,89,7.2,175.0,hotelscom
Hotel Alt Tegel,False,Berlin,Fully refundable,,https://www.hotels.com/ho752328832/hotel-alt-tegel-berlin-germany/,,,123,$,110,8.0,46.0,hotelscom
