link,marketplace,price_currency,price_value,title
https://www.airbnb.com/rooms/777910036659949560,airbnb,$,49,Shared room in Mitte
https://www.airbnb.com/rooms/3920591,airbnb,$,51,Private room in Mitte
https://www.airbnb.com/rooms/22676690,airbnb,$,57,Private room in Neukölln
https://www.airbnb.com/rooms/847799367651729277,airbnb,$,33,Private room in Reinickendorf
https://www.airbnb.com/rooms/49228349,airbnb,$,74,Private room in Pankow
https://www.airbnb.com/rooms/49070135,airbnb,$,135,Apartment in Schöneberg
https://www.airbnb.com/rooms/30919726,airbnb,$,111,Hotel room in Charlottenburg
https://www.airbnb.com/rooms/11847541,airbnb,$,94,Apartment in Friedrichshain
https://www.airbnb.com/rooms/45711564,airbnb,$,74,Private room in Neukölln
https://www.airbnb.com/rooms/51995152,airbnb,$,69,Private room in Kreuzberg
https://www.airbnb.com/rooms/830575419710014519,airbnb,$,38,Private room in Mitte
https://www.airbnb.com/rooms/16007104,airbnb,$,34,Private room in Kreuzberg
https://www.airbnb.com/rooms/799181725836295737,airbnb,$,100,Private room in Neukölln
https://www.airbnb.com/rooms/27574236,airbnb,$,40,Private room in Neukölln
https://www.airbnb.com/rooms/868206,airbnb,$,41,Private room in Mitte
https://www.airbnb.com/rooms/695997251954254445,airbnb,$,107,Apartment in Mitte
https://www.airbnb.com/rooms/807131975159748467,airbnb,$,66,Private room in Mitte
https://www.airbnb.com/rooms/816443111615693549,airbnb,$,63,Private room in Reinickendorf
https://www.airbnb.com/rooms/35396599,airbnb,$,38,Private room in Lichtenberg
https://www.airbnb.com/rooms/9570445,airbnb,$,111,Loft in Kreuzberg
https://www.airbnb.com/rooms/859938925077378542,airbnb,$,100,Apartment in Charlottenburg
https://www.airbnb.com/rooms/22802121,airbnb,$,68,Apartment in Mitte
https://www.airbnb.com/rooms/873627724566328659,airbnb,$,35,Private room in Kreuzberg
https://www.airbnb.com/rooms/2929033,airbnb,$,141,Apartment in Friedrichshain
https://www.airbnb.com/rooms/5610403,airbnb,$,99,Private room in Neukölln
https://www.airbnb.com/rooms/4362839,airbnb,$,71,Private room in Mitte
https://www.airbnb.com/rooms/541157805061295727,airbnb,$,50,Vacation home in Treptow-Köpenick
https://www.airbnb.com/rooms/684491013825440916,airbnb,$,45,Private room in Treptow-Köpenick
https://www.airbnb.com/rooms/15107151,airbnb,$,82,Private room in Pankow
https://www.airbnb.com/rooms/50884931,airbnb,$,96,Condo in Mitte
https://www.airbnb.com/rooms/51466351,airbnb,$,42,Private room in Kreuzberg
https://www.airbnb.com/rooms/27622100,airbnb,$,94,Private room in Kreuzberg
https://www.airbnb.com/rooms/11403270,airbnb,$,58,Private room in Mitte
https://www.airbnb.com/rooms/30846121,airbnb,$,86,Hotel room in Lichtenberg
https://www.airbnb.com/rooms/780773622086564528,airbnb,$,92,Private room in Neukölln
https://www.airbnb.com/rooms/5831587,airbnb,$,84,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/13554198,airbnb,$,98,Private room in Schöneberg
https://www.airbnb.com/rooms/919931,airbnb,$,114,Apartment in Prenzlauer Berg
https://www.airbnb.com/rooms/646408655216371052,airbnb,$,85,Private room in Friedrichshain
https://www.airbnb.com/rooms/972033,airbnb,$,80,Apartment in Mitte
https://www.airbnb.com/rooms/41747575,airbnb,$,82,Private room in Mitte
https://www.airbnb.com/rooms/13593823,airbnb,$,116,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/673651609636609160,airbnb,$,99,Private room in Kreuzberg
https://www.airbnb.com/rooms/31116923,airbnb,$,38,Private room in Lichtenrade
https://www.airbnb.com/rooms/5301447,airbnb,$,44,Private room in Steglitz
https://www.airbnb.com/rooms/53756646,airbnb,$,60,Private room in Friedrichshain
https://www.airbnb.com/rooms/20839690,airbnb,$,53,Private room in Spandau
https://www.airbnb.com/rooms/27397593,airbnb,$,71,Private room in Friedrichshain
https://www.airbnb.com/rooms/26195084,airbnb,$,45,Private room in Neukölln
https://www.airbnb.com/rooms/654136886115400413,airbnb,$,81,Apartment in Lichtenberg
https://www.airbnb.com/rooms/771042510276863401,airbnb,$,67,Private room in Schöneberg
https://www.airbnb.com/rooms/1350644,airbnb,$,151,Condo in Mitte
https://www.airbnb.com/rooms/36401268,airbnb,$,165,Apartment in Mitte
https://www.airbnb.com/rooms/27087980,airbnb,$,76,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/552151799222439302,airbnb,$,151,Apartment in Kreuzberg
https://www.airbnb.com/rooms/21144414,airbnb,$,37,Private room in Schöneberg
https://www.airbnb.com/rooms/48916310,airbnb,$,133,Private room in Friedrichshain
https://www.airbnb.com/rooms/21808006,airbnb,$,99,Private room in Mitte
https://www.airbnb.com/rooms/4744063,airbnb,$,70,Apartment in Lichterfelde
https://www.airbnb.com/rooms/702289668146407841,airbnb,$,88,Private room in Mitte
https://www.airbnb.com/rooms/47897467,airbnb,$,60,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/32333841,airbnb,$,109,Apartment in Mitte
https://www.airbnb.com/rooms/11901953,airbnb,$,116,Apartment in Neukölln
https://www.airbnb.com/rooms/52084164,airbnb,$,57,Private room in Steglitz-Zehlendorf
https://www.airbnb.com/rooms/34172297,airbnb,$,111,Apartment in Kreuzberg
https://www.airbnb.com/rooms/344856,airbnb,$,95,Apartment in Friedrichshain
https://www.airbnb.com/rooms/9816472,airbnb,$,70,Private room in Neukölln
https://www.airbnb.com/rooms/1999738,airbnb,$,40,Private room in Mitte
https://www.airbnb.com/rooms/51549694,airbnb,$,91,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/39345904,airbnb,$,49,Private room in Marzahn-Hellersdorf
https://www.airbnb.com/rooms/30919819,airbnb,$,127,Hotel room in Charlottenburg
https://www.airbnb.com/rooms/44083,airbnb,$,101,Home in Kreuzberg
https://www.airbnb.com/rooms/41306967,airbnb,$,73,Private room in Charlottenburg
https://www.airbnb.com/rooms/24505475,airbnb,$,72,Apartment in Mitte
https://www.airbnb.com/rooms/875215390223424362,airbnb,$,59,Private room in Charlottenburg
https://www.airbnb.com/rooms/3496671,airbnb,$,99,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/9830301,airbnb,$,103,Apartment in Neukölln
https://www.airbnb.com/rooms/4933665,airbnb,$,182,Apartment in Mitte
https://www.airbnb.com/rooms/9689519,airbnb,$,69,Apartment in Kreuzberg
https://www.airbnb.com/rooms/31394785,airbnb,$,62,Private room in Friedrichshain
https://www.airbnb.com/rooms/51939490,airbnb,$,164,Condo in Neukölln
https://www.airbnb.com/rooms/45298444,airbnb,$,96,Condo in Tempelhof
https://www.airbnb.com/rooms/703900,airbnb,$,70,Private room in Kreuzberg
https://www.airbnb.com/rooms/48321715,airbnb,$,101,Private room in Friedrichshain
https://www.airbnb.com/rooms/763695986682521907,airbnb,$,63,Private room in Berlin
https://www.airbnb.com/rooms/51241057,airbnb,$,49,Private room in Berlin
https://www.airbnb.com/rooms/643167887951772735,airbnb,$,97,Private room in Berlin
https://www.airbnb.com/rooms/16050858,airbnb,$,108,Apartment in Berlin
https://www.airbnb.com/rooms/27411832,airbnb,$,135,Apartment in Berlin
