thumbnail,title,stars,preferredBadge,promotedBadge,location,subwayAccess,sustainability,distanceFromCenter,highlights,link,price_taxesAndCharges,price_currency,price_value,rating_score,rating_scoreDescription,rating_reviews,marketplace
https://cf.bstatic.com/xdata/images/hotel/square200/244503067.webp?k=970ca464b9900ef3c37719fdb1d4b4caf2781adc5ae201cce6079cf0815c12e2&o=&s=1,Mercure Hotel Berlin Tempelhof,4.0,True,False,"Neukölln, Berlin",True,Travel Sustainable property,5.4,Standard Double Room,https://www.booking.com/hotel/de/mercureberlintempelhofairport.html?lang=en-us,,$,164,7.9,Good,2994.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/252017475.webp?k=7aca0639d66567b11075d1f02107adbcf10d356db9758ae8392d0275913f0a39&o=&s=1,ibis Styles Hotel Berlin Mitte,2.0,False,False,"Mitte, Berlin",True,Travel Sustainable property,2.3,Twin Room,https://www.booking.com/hotel/de/ibis-styles-berlin-mitte.html?lang=en-us,,$,99,8.0,Very Good,2439.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/271480120.webp?k=e33011985ba38562d2288e02cc0d26d77b980f216a343ebd97c3d0ad39dcf022&o=&s=1,ibis Hotel Berlin Spandau,2.0,False,False,"Spandau, Berlin",True,Travel Sustainable property,12.2,Standard Room,https://www.booking.com/hotel/de/ibisberlinspandau.html?lang=en-us,,$,109,7.5,Good,2332.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/1824336.webp?k=2608232a8e6a6d8651d4414672b7948c1a782e4ee6a84e29d7cd3da119625dff&o=&s=1,Hotel Atrium,,False,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,3.8,Double Room,https://www.booking.com/hotel/de/atrium-berlin.html?lang=en-us,3.0,$,54,6.9,Review score,1050.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/23735730.webp?k=cd5ac8ed8a4b5d4dd3c70ad4cc08316cbd1cffbe8c6ccf614a3cf881f3e7ce44&o=&s=1,Hotel Vier Jahreszeiten Berlin City,4.0,True,False,"Friedrichshain-Kreuzberg, Berlin",True,Travel Sustainable property,3.9,Business Double Room,https://www.booking.com/hotel/de/vier-jahreszeiten-berlin-city.html?lang=en-us,,$,109,7.6,Good,2289.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/253841902.webp?k=dd5d07cb776934d7030fc384561ac2438d39e0b1697cc195d5c9ce39963cf674&o=&s=1,"Hotel Indigo Berlin - East Side Gallery, an IHG Hotel",4.0,True,False,"Friedrichshain-Kreuzberg, Berlin",True,Travel Sustainable property,4.6,Standard Room,https://www.booking.com/hotel/de/indigo-berlin-city-east-side.html?lang=en-us,8.0,$,174,9.0,Wonderful,1887.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/190725488.webp?k=1249acefb744ca8f8ec8eaa885b57817d87fb9f0df4094afa27694d84142d988&o=&s=1,Seminaris CampusHotel Berlin,,True,False,"Steglitz-Zehlendorf, Berlin",True,Travel Sustainable property,8.7,Partner offer option,https://www.booking.com/hotel/de/seminaris-campus-berlin.html?lang=en-us,,$,118,7.8,Good,2653.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/107729710.webp?k=cd3c77b029a6203ef8192597527eaea377d232d08b8c3e08d9ba16b5d894f014&o=&s=1,ABACUS Tierpark Hotel,,False,False,"Lichtenberg, Berlin",True,Travel Sustainable property,9.9,Double or Twin Room,https://www.booking.com/hotel/de/abacus-tierpark.html?lang=en-us,,$,95,7.4,Good,1469.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/112975717.webp?k=151f8a70ce6a59eef9b0134105a15b4e5e666b8fdf97679733b6a611d19d2c64&o=&s=1,Hotel Domicil Berlin by Golden Tulip,4.0,True,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,4.9,Standard Twin Room,https://www.booking.com/hotel/de/domicilhotelberlin.html?lang=en-us,3.0,$,73,7.5,Good,726.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/383817078.webp?k=968d45f70480efb90045ff087741244a2ece6a7a477ce6fc41cb41a5e8c35ac4&o=&s=1,Select Hotel Style Berlin,3.0,True,False,"Charlottenburg-Wilmersdorf, Berlin",False,Travel Sustainable property,3.4,Superior Double Room,https://www.booking.com/hotel/de/das-berlin-centrum.html?lang=en-us,6.0,$,129,8.2,Very Good,2493.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/236462295.webp?k=98beb75cf5c6628801a25f8b7fe2f8addb4f7c709189f4902487f02d6240bfa7&o=&s=1,Mercure Hotel Berlin Zentrum Superior,3.0,True,False,"Tempelhof-Schöneberg, Berlin",True,Travel Sustainable property,2.7,Standard Double Room,https://www.booking.com/hotel/de/mercure-berlin-an-der-urania.html?lang=en-us,,$,114,7.4,Good,681.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/423163923.webp?k=455c73920adf2a11645504cb7d0bd3228c496844bbd4ccea8eca9311252998fb&o=&s=1,Hampton by Hilton Berlin City West,,True,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,3.7,Double Room with Comfort Sofa Bed,https://www.booking.com/hotel/de/hampton-by-hilton-berlin-city-west.html?lang=en-us,,$,182,8.2,Very Good,6853.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/251932032.webp?k=209322183f8e4ebb3a3885dbff6769b9c0a97061d07b5ecc3173060b3cce4adb&o=&s=1,ibis Berlin City Potsdamer Platz,2.0,False,False,"Friedrichshain-Kreuzberg, Berlin",True,Travel Sustainable property,1.4,Double Room with One Double Bed,https://www.booking.com/hotel/de/ibispotsdamerplatz.html?lang=en-us,,$,99,7.8,Good,2044.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/87079264.webp?k=d867ffa886120976d66ae86aef8e4b5e091609be8566691c3dfb2b3e0a8017e1&o=&s=1,Hotel Kastanienhof,3.0,True,False,"Mitte, Berlin",False,Travel Sustainable property,2.9,Economy Double or Twin Room,https://www.booking.com/hotel/de/hotpenskastanienhof.html?lang=en-us,,$,133,8.3,Very Good,473.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/6867388.webp?k=bf8667ebfd2a6f95fade40c38d37a820b9632cb8df7d159a98ed2699a08d6599&o=&s=1,Hotel Lützow,3.0,True,False,"Mitte, Berlin",False,Travel Sustainable property,2.2,Classic Double Room,https://www.booking.com/hotel/de/la1-4tzow.html?lang=en-us,,$,131,7.4,Good,1932.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/37951762.webp?k=456f8544a9c6498188abd89345df0330c73c7d3ba4e039aba5129d01bf94cae8&o=&s=1,Hotel Vivaldi Berlin am Kurfürstendamm,3.0,False,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,4.0,Comfort Double Room,https://www.booking.com/hotel/de/aida.html?lang=en-us,,$,64,7.3,Good,1408.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/1443409.webp?k=b1bf6ac4e0ed7a9b8747b511bb9c6974179a0a2eab637f5f2b66633c00edf166&o=&s=1,Hotel Orion Berlin,,False,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,5.2,Double Room,https://www.booking.com/hotel/de/orionberlindahlmannstr.html?lang=en-us,,$,71,6.8,Review score,787.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/365984039.webp?k=eb4f0b0daef8e038cd16bdd82aba78685315911e08bbf36607c95903a28deaf8&o=&s=1,Hotel BIRGIT Berlin Mitte,3.0,True,False,"Mitte, Berlin",True,Travel Sustainable property,2.9,Twin Room,https://www.booking.com/hotel/de/jurineberlinmitte.html?lang=en-us,,$,109,8.3,Very Good,1538.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/309479526.webp?k=aa8e92760a961cf7e0253734edc7bc55de5a0fe0cb2df85ebfbf66c111310017&o=&s=1,Space Night Capsule Hostel,,False,False,"Mitte, Berlin",True,Travel Sustainable property,1.5,Double Capsule with Shared Bathroom,https://www.booking.com/hotel/de/space-night-capsule-hostel.html?lang=en-us,,$,82,8.2,Very Good,5282.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/271216914.webp?k=f3a0e9935021bda79bff30313cb6e389732a20d10546d33e3243862505cee91e&o=&s=1,Motel One Berlin-Hauptbahnhof,,False,False,"Mitte, Berlin",True,Travel Sustainable property,1.3,Room with King Size bed,https://www.booking.com/hotel/de/motel-one-berlin-hauptbahnhof.html?lang=en-us,6.0,$,120,8.5,Very Good,5275.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/440114408.webp?k=574a7813e880d5122ffc0a38cb788d1404f2586d9fb81a0ea0556f4c6d5dc922&o=&s=1,Hotel BELLEVUE am Kurfürstendamm,,False,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,4.4,Double or Twin Room,https://www.booking.com/hotel/de/bellevue.html?lang=en-us,,$,59,6.8,Review score,83.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/370169165.webp?k=5b55cacbc95b6dcec603ec13ce67a597ff7a67f3519545018c1f2ade43cf16ab&o=&s=1,aletto Hotel Potsdamer Platz,,True,False,"Friedrichshain-Kreuzberg, Berlin",True,Travel Sustainable property,1.8,Double or Twin Room,https://www.booking.com/hotel/de/aletto-potsdamer-platz.html?lang=en-us,5.0,$,101,8.8,Excellent,6874.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/152665382.webp?k=1412dfd3efc5b7f7facdbaffcbf922c10f97832961035411abe12a90c3c1abf1&o=&s=1,Amstel House Hostel,,True,False,"Mitte, Berlin",True,Travel Sustainable property,3.0,Twin Room with Shared Bathroom,https://www.booking.com/hotel/de/amstel-house.html?lang=en-us,,$,72,7.8,Good,2661.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/40153061.webp?k=20e8b31ed7f6f490311fccfd44e2161f10ab6435f2758403e1f0eeb8280b8c0f&o=&s=1,Hilton Berlin,,True,False,"Mitte, Berlin",True,Travel Sustainable property,1.2,Standard Twin Room,https://www.booking.com/hotel/de/hilton-berlin.html?lang=en-us,,$,259,7.7,Good,2132.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/311221785.webp?k=5fe5d96896a42a882a787b2496d77e2655a07edcd059ec1429cbbbc18b4b5472&o=&s=1,Nena Apartments Hermannplatz,3.0,True,False,"Neukölln, Berlin",True,Travel Sustainable property,4.6,Studio,https://www.booking.com/hotel/de/nena-apartemtns-berlin-neukolln.html?lang=en-us,,$,98,7.9,Good,756.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/122974848.webp?k=0be8800e11509eeddee33fea43c41677ce3ca74cd1f2f7c804ed0f691ff953a3&o=&s=1,Best Western Hotel Berlin Mitte,3.0,False,False,"Mitte, Berlin",True,Travel Sustainable property,1.0,Business Room,https://www.booking.com/hotel/de/best-western-berlin-mitte.html?lang=en-us,4.0,$,97,7.7,Good,1563.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/408217064.webp?k=468f05a053cc44f8f8a46f88dbd2e3d9203665af06b8fbaadf2fef2d25b05188&o=&s=1,SANA Berlin Hotel,4.0,True,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,3.4,Deluxe Double Room,https://www.booking.com/hotel/de/sana-berlin.html?lang=en-us,7.0,$,145,8.5,Very Good,3626.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/115303840.webp?k=8fb9ab4b889ff13475711d1242d9e9836573dde6137e8b5df547f3109f750e6e&o=&s=1,H24 Berlin Lichtenberg,,True,True,"Lichtenberg, Berlin",False,Travel Sustainable property,7.6,Deluxe Double Room,https://www.booking.com/hotel/de/h24-berlin-lichtenberg.html?lang=en-us,6.0,$,121,8.5,Very Good,1470.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/383809811.webp?k=64dfe42501039c440a9c42ab590a5d1465c2914782e9a307f2ac54ae5e905f78&o=&s=1,Select Hotel Berlin The Wall,,True,False,"Mitte, Berlin",True,Travel Sustainable property,1.2,Comfort Room,https://www.booking.com/hotel/de/winters-berlin-mitte-the-wall-checkpoint-charlie.html?lang=en-us,5.0,$,115,8.4,Very Good,3384.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/112314519.webp?k=2f70fb892f0a22c098cc6ae73812703cedcca53494b786274c7c45816aa9d04a&o=&s=1,TITANIC Comfort Mitte,,True,False,"Mitte, Berlin",True,Travel Sustainable property,2.0,Standard Double Room,https://www.booking.com/hotel/de/titanic-comfort-berlin-mitte.html?lang=en-us,,$,127,7.8,Good,7722.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/371052324.webp?k=914b676353f18c9a61d496f7f4e9fdb9d2ec0fdb6ae7300440098d5c4cbc3363&o=&s=1,MEININGER Hotel Berlin Hauptbahnhof,,False,False,"Mitte, Berlin",True,Travel Sustainable property,1.1,Twin Room,https://www.booking.com/hotel/de/meininger-berlin-hauptbahnhof.html?lang=en-us,,$,92,7.4,Good,10637.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/427678099.webp?k=39b84022a21e020e7582ee64b4791134c3a0844ce6b36d8d170a1ad8a5070644&o=&s=1,JW Marriott Hotel Berlin,,True,False,"Mitte, Berlin",False,Travel Sustainable property,1.3,"Classic, Guest room, 1 King",https://www.booking.com/hotel/de/hotel-berlin-central-district.html?lang=en-us,9.0,$,202,7.9,Good,1666.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/251998824.webp?k=9141da1380d6f46885ab43c811b717420c76d1f8275202e91d8dd5a9b7bf432e&o=&s=1,Pullman Berlin Schweizerhof,,True,False,"Mitte, Berlin",True,Travel Sustainable property,2.5,Superior Double or Twin Room,https://www.booking.com/hotel/de/berlin-schweizerhof.html?lang=en-us,9.0,$,174,8.5,Very Good,3758.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/42709286.webp?k=35ef4e6e51308da9adef8f595e11847a66e0299cf6ab10b84c022861e5756e93&o=&s=1,H+ Hotel 4Youth,,True,False,"Mitte, Berlin",True,Travel Sustainable property,3.1,Standard Room,https://www.booking.com/hotel/de/hotel4youth-am-mauerpark.html?lang=en-us,,$,137,7.9,Good,3279.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/264075170.webp?k=57b7fd449a92982b821b7f0a312139ce0fe55afa288aab0615fb905b0871ef20&o=&s=1,Quentin XL Potsdamer Platz,,True,False,"Mitte, Berlin",False,Travel Sustainable property,1.5,Superior Double Room,https://www.booking.com/hotel/de/quentin-xl-potsdamer-platz.html?lang=en-us,6.0,$,125,7.3,Good,2203.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/169604488.webp?k=c80e4ad7a74c8babaee5df1fa5388258a49f3066074cc294bd45ab46b43a291e&o=&s=1,Best Western Hotel Kantstrasse Berlin,4.0,True,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,4.9,Standard Double Room,https://www.booking.com/hotel/de/bestwesternkanthotel.html?lang=en-us,6.0,$,114,7.4,Good,1326.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/243737093.webp?k=ca0b3e0a3a43b3206bcad6f4ac2977aa1e550ed1e442505a4e45618df7fa101c&o=&s=1,Airporthotel Berlin-Adlershof,3.0,True,False,"Treptow-Köpenick, Berlin",False,Travel Sustainable property,14.2,Business Double Room,https://www.booking.com/hotel/de/airporthotel-berlin-adlershof.html?lang=en-us,,$,95,7.6,Good,872.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/349125276.webp?k=ecaafb2aa93dcc0ef980b4b0e8ed26ad2c602de8d31ff5f193156f58c7b51a01&o=&s=1,acom Hotel Berlin-City South,,False,False,"Neukölln, Berlin",False,Travel Sustainable property,10.6,Standard Double Room,https://www.booking.com/hotel/de/azimut-berlin-airport.html?lang=en-us,,$,70,7.3,Good,2173.0,booking
